title,company,location,description
Work Force Data Analyst,US Imaging Network,"Tampa, FL 33601","[      Sr. Workforce Data Analyst      Improve the quality of data use and usability by driving an understanding and adherence to the principles of data quality management including metadata, lineage, and business definitions   Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data.   Utilize and manipulate large sets of data to determine relevant indicators that can be leveraged into trend and insight reports   Use specific diagnostic tools and approaches designed for existing work streams   Create reports, dynamic graphs, charts, tables and similar to reflect data analysis   Modify data analysis output when needed   Develop and automate end user applications and reports   Participate in strategic initiatives related to process improvements   Develops ad-hoc reports to conduct data analysis and validation.   Researches methodologies and conducts metric reporting.   Analyzes trends to recommend process and/or operational improvements.   Prepares detail and summary level reports including written interpretation of analytic results.   Presents results to management, including data-driven business recommendations and alternatives.   Evaluates financial impact of implemented initiatives.   Performs other duties as assigned.     Required Skills/Experience/Knowledge:     Strong analytical and mathematical background to analyze information, situations, and procedures   Proficiency with computer systems, database management concepts and database structures   Advanced experience in Excel, Access   IVR knowledge, in particular inContact/NICE software   Prior statistical manipulation and reporting experience     Proficiency in programming languages such as SQL     Prior experience forecasting and planning in a call center environment     Experience with workforce management software and processes     In depth understanding of all contact center metrics, processes, and key performance indicators     Ability to meet deadlines; well organized and the ability to learn under mentor ship   Extremely detail-oriented; take responsibility for delivering accurate and error-free reports     Excellent verbal and written communication skills     High School or GED Required, Bachelor’s degree or equivalent preferred     ]"
Data Scientist- Relocation to Saudi Arabia,Saudi Aramco,United States,"[      Saudi Aramco is seeking an Engineer for the development and implementation of data analytics solutions to join the Process &amp; Control Systems Department/Advanced Process Solutions Division, based in Dhahran, Saudi Arabia.    The Advanced Process Solutions Division provides engineering expertise in Manufacturing Operations Management, Decisions Support Applications, Advanced Process Control, Process Modeling and Optimization, and Advanced Analytics technologies.    The successful candidate will have a strong background in data science, machine learning, statistical modeling as well as a basic knowledge of standard process historians. Experience with data science and machine learning is required.    The candidate should understand statistical and predictive modeling concepts, as well as supervised and unsupervised learning techniques.    Minimum Requirements:   BS in Chemical Engineering, Electrical Engineering or Computer Engineering or other related degree from an accredited university.    Advanced degree in data analytics, data science, applied statistics, operations research, process optimization or a related quantitative discipline is an asset.    Course work in applied statistics, data mining, machine learning, and optimization techniques is a must.    Understanding of statistical and predictive modeling concepts, machine-learning approaches, neural networks, clustering and classification techniques, and optimization algorithms is required.    Knowledge of Python, R, Matlab &amp; other machine learning frameworks is a must. General analytics (e.g. INFORMS CAP) and/or platform specific certification as an asset.    Experience with selecting appropriate machine learning algorithms, building predictive and forecasting models, and solution deployment and maintenance is desirable.    Experience with deployment of advanced analytics solutions based on machine learning techniques in upstream and downstream processes will be an asset.    Knowledge of plant automation systems, standard real time interfaces such as OPC and process historians such as PI is desirable.    Experience with identification of new advanced analytics use cases, business value quantification and working with multi-disciplinary teams on delivering analytics solutions will be an asset.    Awareness of Digital Transformation area and experience with delivering Digitalization initiatives will be an asset.    Candidates should have 5-10 years of experience in a technical specialty, have experience in oil and gas business and applications (refineries, gas plants, producing), and recognized as a potential technical leader in his/her field.    Duties &amp; Responsibilities:   The candidate will be responsible for the following:    Provides expert advice and assistance to Company organizations, outside vendors, and technology firms on matters relating to his/her area of expertise.    Originates and carries out studies to identify potential advanced analytics use cases and applications to existing problems resolve complex technical problems, increase revenue, optimize processes, protect the environment, or improve safety using their advanced analytics/data science background.    Develops and maintains Best Practices, or other documentation to enhance company profitability, safety and productivity in the advanced analytics/data science area.    Examines the business problem and identifies the required learning task (i.e. classification, clustering, regression, forecasting … etc.)    Selects appropriate Machine Learning algorithms suited for the selected learning task and condition/structure of the data. This includes but not limited to Decision Tree/Forest, Support Vector Machines, kNN, Neural Network and deep learning.    Builds and deploys predictive models using algorithms such as linear/logistic/dynamic regression to address the business needs.    Reviews and evaluates the capabilities of vendors and contractors to determine their acceptability to perform major services to Aramco.    Acts as Aramco’s representative in dealings with vendors and manufacturers pertaining to their field of experience.    Works on or with Task Forces assigned to investigate incidents or solve specific problems using their data science/analytics background. Undertakes special assignments requiring extensive technical experience and discretion when dealing with outside organizations.    Conducts presentations in the resolution of technical problems with personnel in other organizations.    Writes papers for peer-reviewed journals on studies and projects they has overseen.    Provides leadership to others assigned to assist them.    Acts as a professional mentor to less senior specialists and engineers.    Promotes a learning environment and implements self-development to maintain and improve expert status within his/her specialty.    About us:   The Engineering &amp; Project Management (E&amp;PM) business line studies, plans and oversees the construction of the Company’s new facilities, including some of the biggest and most complex projects in the petroleum industry. Recently, Saudi Aramco completed the largest capital program in its history that included new or expanded oil, gas and petrochemical facilities, raising maximum sustainable crude oil production capacity to 12 million barrels per day and significantly increasing gas production and processing capacities. Among the recently completed projects was the largest crude oil increment in the history of the industry: Khurais, with a production capacity of 1.2 million barrels per day. More challenges lie ahead, with a slate of new or expanded oil, gas, refining and petrochemical projects in the works. E&amp;PM also manages the Company’s Research &amp; Development Center where scientists investigate topics such as the desulfurization of crude oil, advanced fuel formulations for next generation combustion engines, and reservoir nano-scale robots (Resbots™) for injection into reservoirs to record their properties.    ]"
PwC AI Lab - Data Scientist - Machine Learning (NLP),PwC,"Tampa, FL 33646","[   PwC Labs is focused on standardizing, automating, delivering tools and processes and exploring emerging technologies that drive efficiency and enable our people to reimagine the possible. Process improvement, transformation, effective use of innovative technology and data &amp; analytics, and leveraging alternative delivery solutions are key areas of focus to drive additional value for our firm.     The AI Lab focuses on implementing solutions that impact efficiency and effectiveness of our technology functions. Process improvement, transformation, effective use of technology and data &amp; analytics, and leveraging alternative delivery are key areas to drive value and continue to be recognized as the leading professional services firm. AI Lab is focused on identifying and prioritizing emerging technologies to get the most out of our investments.     To really stand out and make us ?t for the future in a constantly changing world, each and every one of us at PwC needs to be an authentic and inclusive leader, at all grades/levels and in all lines of service. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.     As a Senior Associate, youll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:   Use feedback and reflection to develop self awareness, personal strengths and address development areas.   Delegate to others to provide stretch opportunities and coach to help deliver results.   Develop new ideas and propose innovative solutions to problems.   Use a broad range of tools and techniques to extract insights from from current trends in business area.   Review your work and that of others for quality, accuracy and relevance.   Share relevant thought leadership.   Use straightforward communication, in a structured way, when influencing others.   Able to read situations and modify behavior to build quality, diverse relationships.   Uphold the firms code of ethics and business conduct.      Job Requirements and Preferences :    Basic Qualifications :      Minimum Degree Required :   Bachelor Degree      Additional Educational Requirements :   In lieu of a Bachelor Degree, 12 years of professional experience involving technology-focused process improvements, transformations, and/or system implementations      Minimum Years of Experience :   3 year(s)      Preferred Qualifications :      Degree Preferred :   Master Degree      Preferred Fields of Study :   Business Analytics, Computer and Information Science, Mathematics      Preferred Knowledge/Skills :     Demonstrates thorough abilities and/or a proven record of success as a team leader including the following areas:   New technology learning and quickly evaluating their technical and commercial viability;   Machine learning techniques for addressing a variety of problems (e.g. consumer segmentation, revenue forecasting, image classification, etc.); and,   Machine learning algorithms (e.g. k-nearest neighbors, random forests, ensemble methods, deep neural networks, etc.) and when it is appropriate to use each technique.   Building machine learning models and systems, interpreting their output, and communicating the results;   Moving models from development to production; and,   Conducting research in a lab and publishing work.   Demonstrates thorough abilities and/or a proven record of success with a subset of the following technologies:   Programming including Python, R, Java, JavaScript, C++, Unix Hardware, sensors, robotics, GPU enabled machine learning, FPGAs, and Raspberry Pis, etc.;   Data Storage Technologies including SQL, NoSQL, Hadoop, cloud-based databases such as GCP BigQuery, and different storage formats (e.g. Parquet, etc.);   Data Processing Tools including Python (Numpy, Pandas, etc.), Spark, and cloud-based solutions such as GCP DataFlow;   Machine Learning Libraries including Python (scikit-learn, genism, etc.), TensorFlow, Keras, PyTorch, and Spark MLlib;   NLP and text based extraction techniques;   Visualization including Python (Matplotlib, Seaborn, bokeh, etc.), and JavaScript (d3); and,   Productionization and containerization technologies including GitHub, Flask, Docker, and Kubernetes.   All qualified applicants will receive consideration for employment at PwC without regard to race; creed; color; religion; national origin; sex; age; disability; sexual orientation; gender identity or expression; genetic predisposition or carrier status; veteran, marital, or citizenship status; or any other status protected by law. PwC is proud to be an affirmative action and equal opportunity employer.   ]"
Data Analyst,PSG Global Solutions,"Tampa, FL","[     The Opportunity    We're looking for a  Data Analyst , working in the  Banking/Finance  industry in  Tampa, Florida .    Create and maintain credit facility and obligor data for entities in default.   Retrieve data from various systemic and paper based sources for consolidation and input into one proprietary in-house application.   Interact with internal Risk Management representatives as well as other areas of the firm.      Our Client    Our client is a publicly traded, financially sound, 40+ year-old company. Providing IT and Technical staffing in the New York tri-state region and across the country. Respected and networked in growing fields like New Media, Publishing, Finance, Investment Banking, Pharmaceuticals, Insurance, and Utilities.   Prestigious Fortune 1000 companies and dynamic Internet eCommerce customers depend on their expertise. 75% have been with them 10+ years. Reliability and relationships mean opportunity for you!   Want exciting projects or excellent opportunities for full-time employment?   Challenging work that utilizes your skills starts here.    Experience Required for Your Success     Excellent interpersonal and written communication skills.   Knowledge of credit risk products (e.g. loans, derivatives, etc.) and documentation is a plus.   Good technical skills including knowledge of MS Office (familiarity with Excel and Access is a must have), and the ability to learn and use various proprietary in-house systems including web based programs and the like.   Analytical ability   Attention to detail   Ability to multi-task and prioritize to meet deadlines.   Must be able to work independently with limited supervision.     Details    The pay we are offering is  19  per hour. This position may present an opportunity to go permanent.    What Do You Think?    Does your experience reflect what it takes to be successful in this role? Do the work and challenges get you excited about what's possible? Apply here.   Not exactly? Join Our Talent Community, and we'll let you know of additional opportunities.    ]"
Senior Data Analyst,Brooksource,"Bradenton, FL 34205","[    Digital Data Analyst   Bradenton, FL   Contract to Hire  Our Fortune 500 client is seeking an E-Commerce Testing &amp; Optimization Analyst to join the Data Team within their Information Systems &amp; Technology (IS&amp;T) Department. Incumbent will be responsible for data analytics, within an agile data science team, to improve customer experience and inform business strategy.   Responsibilities    Measure report and strategize metrics to support growth opportunities related to the performance of our eCommerce business and marketing campaigns.    Analyze behavioral web analytics data utilizing Adobe Analytics, and SQL, Power BI, and other analytical tool sets to deliver insights and make recommendations for optimizations.    Conceptualize, develop, and execute measurable and actionable onsite optimization tests (A/B/N, MVT, Automated Personalization) across digital properties to increase conversion rates and drive revenue    Manage end-to-end optimization testing processes, including prioritization, requirements gathering, implementation, measurement, and next-step recommendations    Analyze test results statistical test results, with R, Python, or comparable mathematical programming languages, and propose appropriate optimizations to achieve revenue/profitability goals    Transform and distill high complexity/high impact business inquiries into innovative analytic solutions, aligning both data science team and business clients on approach    Provide ad-hoc data and analytics support to the business to build foundational understanding and deliver higher level insights    Communicate clearly and effectively with business users and agile teams through all phases of the development life cycle    Deliver key findings to members of the business though presentations and direct engagement that result in actions and improved decision making    Develop and perform value measurement and tests to refine approaches and influence direction of analytic product development    Qualifications    Requires a bachelor’s degree in Business, Marketing, Statistics, Finance, Computer Science or related field from an accredited university or college    Expert knowledge of conversion optimization concepts and best practices for responsive web, mobile apps and digital marketing campaigns    A minimum of 2-4 years of experience leading digital initiatives with a focus on onsite optimization testing, preferably in e-commerce channels    Advanced level skills in Microsoft Excel    A minimum of 2-4 years’ experience with web analytics tools such as Adobe Analytics, Coremetrics, or Google Analytics    A minimum of 4+ years’ experience with SQL/Relational Database systems (TSQL, MySQL, Oracle, or comparable)    Basic Knowledge of advanced statistics, data manipulation, and research methods preferred    Ability to perform statistical analysis of A/B/N analysis utilizing Python, R, or other comparable statistical packages    A functional understanding of HTML, CSS, and Javascript    Familiarity/experience with digital marketing concepts including conversion rate optimization, A/B testing, SEO, SEM, Email, and other direct response media are preferred    Must be able to think both creatively and critically    Must demonstrate the ability to interpret business data and translate into insightful recommendations, visually, verbally, and in written form    Must be highly motivated and be able to work both independently and in a team environment    Strong organizational and interpersonal skills   Job Types: Full-time, Contract  Salary: $50.00 to $60.00 /hour  Full Time Opportunity:   Yes   Additional Compensation:   Store Discounts   Work Location:   One location   Benefits:   Health insurance  Dental insurance  Vision insurance  Retirement plan  Paid time off  Flexible schedule    ]"
Data Scientist,FairWarning,"Tampa, FL","[    Data Scientist   Are you passionate about applying your data skills in a real-world tech environment? Join FairWarning and help us leave the world better than we found it!  FairWarning is looking for data scientists with hands on experience transforming unique data into amazing products. You will have access to an enormous amount of high-value business activity data. You will participate in the end-to-end processes of product development using machine learning, from proof of concept to deploying models in production. Your work will directly impact the developer experience in building applications, as well as the customer experience when interacting with them.  You will be working with a group of world-class data engineers to build intelligent services for customer-facing products. We are a team with diverse technical backgrounds who share a passion for problem-solving, new technologies, and learning. We love to learn and teach and help each other, and we are looking for people with a collaborative attitude and openness to others' ideas.   The Perks!   We believe in the support of our employees’ total wellbeing because our team members are the heart, soul and mind of FairWarning. We are committed to providing great benefits, challenging assignments, a supportive work/life balance, and a fun environment where you can celebrate success and just simply be yourself. Our goal is to provide a rewarding place to work financially and experientially.   Grow your Career with Leadership and Career Growth Opportunities  Give Back to the Community through our Service Events  Get Social with our Team Celebrations and Events  Balance your life with Flexible Work Hours  Cut your Carbon Footprint with Teleworking Schedules  Recharge your Batteries with Unlimited Time Off  Get Fit with our Wellness Program  Grow Financially with our No-Vest 401(k) Match  Expand your Perspective with our Diversity and Inclusion Program    What you will be doing:     Working closely with Software Engineers and Product/Technical Services Mangers to drive analysis and performance improvements  Developing and implementing cloud-based security solutions providing data protection and governance, and improving customer experience  Working with internal business teams to integrate data and decision-making  Build intelligence into our services to make them run smarter with a responsible application of Machine Learning.    Our Perfect Match    PhD or Master’s Degree in Computer Science, Statistics, Engineering, or related quantitative field with 3-5 years of industry experience  Preference for PHD graduates in Computer Science and Machine Learning  Schooling and experience with Exploratory Data Analysis with strong skillset and intuition in statistical analysis  Experience developing supervised and unsupervised models. Experience with anomaly detection is a strong plus  Experience building pipelines that include massive amounts of data, including working with training data sets with hundreds of millions of records  Experience with Scikit-Learn, Pandas, Numpy, Matplotlib, Jupyter Notebooks (required) and nice to have Tensorflow and/or Theano, and Keras. Experience with Python and Java.  Experience with Model Explainability frameworks  Experience with Amazon Web Services Elastic Map Reduce (EMR) and Apache Pig including ability to code using the pig Latin language  Experience delivering within a product development team in an agile software development lifecycle  Experience integrating model training and execution workflows into a production software application so that it operates in a “lights out” fashion, is monitorable in production, and is configurable to accommodate both customer and product configuration differences with minimum effort required to implement new customers  Experience designing and implementing machine learning pipelines in production environments  Experience with MLib, Spark, and R  Experience with large data sets to train and fine tune deep learning modules  You have to love data - this is what we do. We are looking for people who are excited about different and unique data sets, and all the ways that they could be used in order to improve user experience    Who We Are   FairWarning solutions protect organizations of all sizes against data theft and misuse in Electronic Health Records (EHRs), Salesforce, Office 365, and hundreds of other applications through real-time and continuous user activity monitoring leveraging a combination of user behavioral analytics and machine learning algorithms   FairWarning has a proven track record of developing, selling and servicing patented, market-leading product and service offerings  FairWarning has been voted a Top Workplace for seven (7) consecutive years  $60 Million growth investment from Mainsail Partners is causing exponential growth and opportunity   Job Type: Full-time  Experience:   relevant: 1 year (Preferred)   Work Location:   One location   Benefits:   Health insurance  Dental insurance  Vision insurance  Retirement plan  Flexible schedule  Paid time off    ]"
Data Analyst Manager,Wipro Limited,"Tampa, FL 33619","[    JOB INFORMATION     Job Title:    Data Analyst   Manager     Department:   Operations    FLSA Status:   Exempt   JOB SUMMARY   This Management level position leads a team of Data Analysts responsible for maintaining, analyzing, and monitoring the Exchange Enrollment Reconciliation activities with the Federally Facilitated Marketplace (FFM) and the State Based Markets (SBM) and HPS. This leader is directly accountable for ensuring the Carriers enrollment data files are transmitted and reconciled within the required timelines established by the Exchanges to ensure compliance monthly, semi-monthly, and/or ad-hoc cycles.   ESSENTIAL JOB FUNCTIONS/DUTIES    Day-to-day management of a team of Data Analysts (managing time off requests, deliverables, performance/corrective action, training, etc)  Strategic management of Exchange, Carrier, and Internal requirements/objectives  Lead and mentor a team of highly skilled, technical resources  Analyze and interpret enrollment data and coordinate activity necessary to reconcile with Exchanges  Acquire data from primary or secondary data sources and maintain databases/data systems  Identify, analyze, and interpret trends or patterns in complex data sets  Locate and define new process improvement opportunities  Design and maintain robust solutions to proactively minimize data conflicts  Intake, prioritize, assign, align with leadership, and ensure requests (internal and external) are completed in a timely fashion    QUALIFICATION REQUIREMENTS     3 - 5 years of experience as a leader of technical/analytical resources, preferably in the government healthcare sector    Must be able to effectively lead a diverse team of data analysts to deliver meaningful outcomes via compliant and collaborative work efforts with minimal leadership intervention/direction    Must be able to assume the responsibilities of an individual contributor as required to ensure work is completed and deadlines are met   Specific expertise with EDI 820 &amp; 834 transaction sets  Ability to understand enrollment data and ability to reconcile enrollment data between the various Exchanges &amp; Carriers   Technical expertise regarding data models, database design development, data mining and segmentation techniques    Strong knowledge of and experience with reporting packages (Business Objects etc.), databases (SQL, SSIS/SSRS ), programming (C#, .Net Framework, XML, Java script, and ETL frameworks)    Knowledge of statistics and experience using statistical packages for analyzing large datasets (Excel, SPSS, SAS etc.)    Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy   Adept at querying data from various DBMS and writing summary reports  Excellent verbal and written communication skills  Ability to effectively present findings and feedback to executive leadership and clients  Supportive and team player    EDUCATION REQUIREMENTS    BS in Computer Science, Information Management, Statistics or equivalent is required. MS preferred.    LICENSING/CERTIFICATION REQUIREMENTS    N/A    PHYSICAL REQUIREMENTS    Normal degree of physical effort in typical office environment.  May be subject to interruptions.  Required to work computer.  May need to travel on rare occasions.   Job Type: Full-time  Experience:   relevant: 3 years (Required)   Education:   Master's (Preferred)   Work Location:   One location   Benefits:   Health insurance  Dental insurance  Vision insurance  Paid time off    ]"
Senior Data Scientist,Auto Club Group,"Tampa, FL 33602","[    Job Description        The Auto Club Group (ACG) provides membership, travel, insurance and financial services offerings to approximately 9 million members and customers across 11 states and 2 U.S. territories through the AAA, Meemic and Fremont brands. ACG belongs to the national AAA federation and is the second largest AAA club in North America.         Primary Duties and Responsibilities:       Produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets. Apply knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to prototype development and product improvement. Use a flexible, analytical approach to design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from the data. Generate and test hypotheses and analyze and interpret the results of product experiments.         Translate business problems into data science problems, determine criteria for evaluating success   Work with Big Data coming from numerous sources   Extract, clean, transform and process very large amounts of structured and unstructured data to prepare for data science initiatives (data wrangling)   Apply machine learning, time series and other data science techniques to forecast sales volumes, usage of products, membership benefits, etc.   Build deployable machine learning models that can support solutions for cross sell, sentiment analysis, improved customer experience, etc.   Research new machine learning solutions for complex business problems   Create data visualizations to illustrate findings in BI tools such as Tableau   Communicate findings to business partners and executives   Mentor junior Data Scientists         Preferred Qualifications:    Master’s Degree in Computer Science, Statistics, or similar area of study preferred.   Prior experience collaborating with business managers on data science initiatives    Strong business acumen     Experience working in Agile-based teams           Work Environment:    Works in a temperature-controlled office environment.   Qualifications       Required Qualifications:    Education:        A Bachelor’s degree in Computer Science, Statistics, or similar area of study; or in the alternative, a combination of education, certifications and work experience equivalent to a Bachelor's degree in Computer Science, Statistics, or similar area of study.        Experience:       5+ years’ experience with statistical modeling tools such as R, and scripting languages such as Python or Scala   2+ years’ experience with applying machine learning techniques to real-world problems   2+ years machine learning experience with supervised and unsupervised learning algorithms   4+ years’ experience using statistical techniques including linear/logistic regression, decision trees and cluster analysis   4+ years’ experience with advanced SQL queries   Experience working with unstructured data      Knowledge and Skills:        Intermediate knowledge of big data technologies such as Spark   Familiarity with BI Tools such as Tableau, MicroStrategy, Data Studio, etc.   Experience with machine learning packages        The Auto Club Group offers a competitive compensation and benefits package including a base salary with performance based incentives; medical/dental/vision insurance, 401(k), generous time off, a complimentary AAA Membership and much more!      Important Note: The above statements describe the principal and essential functions, but not all functions that may be inherent in the job. This job requires the ability to perform duties contained in the job description for this position, including, but not limited to, the above requirements. Reasonable accommodations will be made for otherwise qualified applicants, as needed, to enable them to fulfill these requirements.      The Auto Club Group, and all of its affiliated companies, is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, disability or protected veteran status.     ]"
Lead Data Scientist,Auto Club Group,"Tampa, FL 33602","[    Job Description       The Auto Club Group (ACG) provides membership, travel, insurance and financial services offerings to approximately 9 million members and customers across 11 states and 2 U.S. territories through the AAA, Meemic and Fremont brands. ACG belongs to the national AAA federation and is the second largest AAA club in North America.       Primary Duties and Responsibilities:    Produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets. Apply knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to prototype development and product improvement. Use a flexible, analytical approach to design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from the data. Generate and test hypotheses and analyze and interpret the results of product experiments.         Identify business problems which can be solved through Artificial Intelligence, determining criteria for evaluating success   Work with Big Data coming from numerous sources   Extract, clean, transform and process very large amounts of structured and unstructured data to prepare for data science initiatives (data wrangling)   Apply machine learning, time series and other data science techniques to forecast sales volumes, usage of products, membership benefits, etc.   Build deployable machine learning models that can support solutions for cross sell, sentiment analysis, improved customer experience, etc.   Research new machine learning solutions for complex business problems   Create data visualizations to illustrate findings in BI tools such as Tableau   Communicate findings to business partners and executives   Train and mentor other Data Scientists         Preferred Qualifications:    Master’s degree in Computer Science, Statistics, or similar area of study preferred.   Strong business acumen   Experience working with Executives on data science initiatives   Experience leading Agile-based project teams        Work Environment:    Works in a temperature-controlled office environment.   Qualifications       Required Qualifications:       Education:        A Bachelor’s degree in Computer Science, Statistics, or similar area of study; or in the alternative, a combination of education, certifications, and work experience equivalent to a Bachelor's degree in Computer Science, Statistics, or similar area of study.        Experience:       8+ years experience with statistical modeling tools such as R, and scripting languages such as Python or Scala   3+ years experience with applying machine learning techniques to real-world problems   3+ years machine learning experience with supervised and unsupervised learning algorithms   5+ years experience using statistical techniques including linear/logistic regression, decision trees and cluster analysis   5 + years experience with advanced SQL queries   Experience working with unstructured data      Knowledge and Skills:        Strong understanding of big data technologies such as Spark   Familiarity with BI Tools such as Tableau, MicroStrategy, Data Studio, etc.   Expertise with machine learning packages        The Auto Club Group offers a competitive compensation and benefits package including a base salary with performance based incentives; medical/dental/vision insurance, 401(k), generous time off, a complimentary AAA Membership and much more!      Important Note: The above statements describe the principal and essential functions, but not all functions that may be inherent in the job. This job requires the ability to perform duties contained in the job description for this position, including, but not limited to, the above requirements. Reasonable accommodations will be made for otherwise qualified applicants, as needed, to enable them to fulfill these requirements.      The Auto Club Group, and all of its affiliated companies, is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, national origin, disability or protected veteran status.     ]"
HVAC Data Analyst - Intelligent Services,Tampa Bay Trane,"Tampa, FL 33609","[     Job Title:  HVAC Data Analyst – Intelligent Services  FLSA Status:  Exempt     Process:  Intelligent Services  EEO Job Code:  OM-1     Reports To:  IS Manager – Service &amp; Contracting  Prepared Date:  11/14/19     SUMMARY     As a HVAC Building Data Analyst, you will identify HVAC control system data for improvements, alarm response support, power consumption analysis, chiller plant / controls system optimization, energy savings, controls programing optimization recommendations, pull through opportunities. This position will support customer base through operational business process efficiency.     ESSENTIAL FUNCTIONS AND RESPONSIBILITIES include the following. Other functions may be assigned.       Prepare reports using proprietary software, as well as Excel and Word. Work with Trane Optimization Engineers on reporting best practices.   Build out cost saving calculator spreadsheets for more accurate savings estimations.   Requires a strong knowledge base in HVAC systems and controls.   Review customer HVAC Controls system with an aim of improving building performance. Improvements consist of improving control system operation, remove overrides, establish schedules, remove inefficient programing, setup alarming, and implement remote connections and data mining programs.   Setup and connect Trane Energy Performance to building controls systems via remote monitoring and software installation.   Assess customers energy spend and optimize their HVAC controls / equipment system.   Meet with customers on a quarterly basis to review reports, and identify energy savings opportunities.   Ongoing training on remote connectivity, IP Networking, and wireless router solutions.   Fulfilment of monthly Intelligent Services remote controls inspections, energy analysis and monthly reporting. Assist with streamlining operational efficiencies to drive productivity..   Develop energy saving opportunities from HVAC controls / systems data. Make recommendations for system improvements, contracting projects to improve comfort, uptime and improve system efficiency.   Identify, escalate and ensure resolution of issues impacting site connectivity.   Manage the development and execution of multiple projects simultaneously.   Some travel with occasional overnight stays. (5-10%)   Flexibility to work outside normal work hours/weekends, as required.   Other duties as assigned.      QUALIFICATIONS To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.      EDUCATION and/or EXPERIENCE     Bachelor s degree or equivalent in Mechanical Engineering, Construction or Business Management; or HVAC Controls experience and/or training; or equivalent combination of education and experience.   Experienced and knowledgeable with HVAC controls, equipment and building system operation. Knowledge of HVAC system improvements, energy efficient upgrades, power meters, utility rate structure, utility energy efficiency rebates and general controls systems knowledge.    LANGUAGE SKILLS     Ability to respond to common inquiries or complaints from customers, regulatory agencies, or members of the business community. Ability to write and/or create effective memos, reports, presentations, and documents. Ability to effectively present information to top management, public groups, and/or boards of directors.     MATHEMATICAL SKILLS     Ability to work with mathematical concepts such as probability and statistical inference, and fundamentals of algebra. Ability to apply concepts such as fractions, percentages, ratios, and proportions to practical situations.     REASONING ABILITY     Ability to define problems, collect data, establish facts, and draw valid conclusions. Ability to interpret an extensive variety of technical instructions in mathematical or diagram form and deal with several abstract and concrete variables.     PHYSICAL DEMANDS The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.     While performing the duties of this job, the employee is regularly required to sit, talk and hear. The employee frequently is required to stand and walk. The employee is occasionally required to use hands to finger, handle, or feel; reach with hands and arms; and stoop, kneel, crouch, and crawl. The employee must occasionally lift and/or move up to 10 pounds. Specific vision abilities required by this job include close vision, distance vision, and ability to adjust focus.     WORK ENVIRONMENT The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.     While performing the duties of this job, the employee regularly works in a typical office environment. Site visits are occasionally required; therefore the employee is occasionally exposed to wet and/or humid conditions, moving mechanical parts, fumes or airborne particles, outside weather conditions, and risk of electrical shock. The noise level in the work environment is usually moderate.    Tampa Bay Trane offers a comprehensive benefit package including medical, dental, vision, HSA/FSA, life insurance, short/long term disability, 401(k) with company match, gym membership, wellness benefits, and other multiple corporate discounts.    ]"
